Date,Bullish,Neutral,Bearish,Bull-Bear Spread,S&P 500 Weekly High,S&P 500 Weekly Low,S&P 500 Weekly Close
4/24/2014,0.345029,0.394737,0.260234,0.084795,1884.89,1815.8,1875.39
4/17/2014,0.272171,0.385321,0.342508,-0.070337,1872.53,1814.36,1862.31
4/10/2014,0.284768,0.374172,0.34106,-0.056292,1897.28,1837.49,1872.18
4/3/2014,0.353571,0.378571,0.267857,0.085714,1893.17,1842.11,1890.9
3/27/2014,0.311615,0.402266,0.286119,0.025496,1883.97,1849.69,1852.56
3/20/2014,0.367816,0.37069,0.261494,0.106322,1882.35,1839.57,1860.77
3/13/2014,0.413408,0.318436,0.268156,0.145252,1883.57,1849.23,1868.2
3/6/2014,0.405099,0.328612,0.266289,0.13881,1876.53,1834.44,1873.81
2/27/2014,0.396907,0.391753,0.21134,0.185567,1858.71,1824.58,1845.16
2/20/2014,0.422,0.35,0.228,0.194,1847.5,1826.99,1828.75
2/13/2014,0.401478,0.325123,0.273399,0.128079,1826.55,1737.92,1819.26
2/6/2014,0.27896,0.356974,0.364066,-0.085106,1798.77,1737.92,1751.64
1/30/2014,0.321839,0.350575,0.327586,-0.005747,1850.84,1815.52,1844.86
1/23/2014,0.381201,0.381201,0.237598,0.143603,1850.84,1815.52,1844.86
1/16/2014,0.38992,0.395225,0.214854,0.175066,1850.84,1815.52,1848.38
1/9/2014,0.43617,0.31383,0.25,0.18617,1849.44,1823.73,1837.49
1/2/2014,0.430894,0.276423,0.292683,0.138211,1849.44,1810.25,1848.36
12/26/2013,0.550562,0.264045,0.185393,0.365169,1833.32,1767.99,1833.32
12/19/2013,0.474576,0.274576,0.250847,0.223729,1811.08,1767.99,1810.65
12/12/2013,0.412651,0.337349,0.25,0.162651,1811.52,1779.09,1782.22
12/5/2013,0.426415,0.298113,0.275472,0.150943,1813.55,1779.09,1792.81
11/28/2013,0.473016,0.244444,0.28254,0.190476,1808.42,1777.23,1807.23
11/21/2013,0.343931,0.361272,0.294798,0.049133,1802.33,1760.64,1781.37
11/14/2013,0.391975,0.333333,0.274691,0.117284,1782,1746.2,1782
11/7/2013,0.454829,0.327103,0.218069,0.23676,1775.22,1752.7,1770.49
